Actor Name,Organisation Type,Year,Total Receipts ($),H3: Yearly Growth (%),H3: Rolling Volatility (3-Year Window)
ACP,Minor Party,2011,347200,NA,NA
ACP,Minor Party,2012,108000,-68.894,NA
ACP,Minor Party,2013,826390,665.176,NA
ACP,Minor Party,2014,1042761,26.183,399.21
ACP,Minor Party,2015,920936,-11.683,380.325
ACP,Minor Party,2016,1052227,14.256,19.36
ACP,Minor Party,2017,1131359,7.52,13.46
ACP,Minor Party,2019,1022905,-9.586,12.291
ACP,Minor Party,2020,956023,-6.538,9.125
ACP,Minor Party,2021,2405958,151.663,92.23
ACP,Minor Party,2022,1192160,-50.45,106.306
ACP,Minor Party,2023,1292805,8.442,103.947
AJP,Minor Party,2016,316478,NA,NA
AJP,Minor Party,2017,265605,-16.075,NA
AJP,Minor Party,2018,616243,132.015,NA
AJP,Minor Party,2019,1006647,63.352,74.11
AJP,Minor Party,2020,1093852,8.663,61.808
AJP,Minor Party,2021,932534,-14.748,40.08
AJP,Minor Party,2022,1141497,22.408,18.786
AJP,Minor Party,2023,730620,-35.995,29.56
ALP,Major Party,2017,10307199,NA,NA
ALP,Major Party,2018,48162246,367.268,NA
ALP,Major Party,2019,8816505,-81.694,NA
ALP,Major Party,2020,9175665,4.074,238.339
ALP,Major Party,2021,54766684,496.869,312.233
ALP,Major Party,2022,17572183,-67.914,307.411
ALP,Major Party,2023,13598360,-22.614,313.819
Greens,Minor Party,1998,41067,NA,NA
Greens,Minor Party,1999,70407,71.444,NA
Greens,Minor Party,2000,358767,409.562,NA
Greens,Minor Party,2001,1428661,298.214,172.311
Greens,Minor Party,2002,266171,-81.369,257.389
Greens,Minor Party,2003,247382,-7.059,201.162
Greens,Minor Party,2004,589272,138.203,111.68
Greens,Minor Party,2005,167733,-71.536,107.431
Greens,Minor Party,2006,154274,-8.024,107.553
Greens,Minor Party,2007,1425402,823.942,499.68
Greens,Minor Party,2008,366002,-74.323,500.573
Greens,Minor Party,2010,367533,0.418,498.44
Greens,Minor Party,2011,3255278,785.71,476.432
Greens,Minor Party,2012,1961173,-39.754,465.419
Greens,Minor Party,2013,4298614,119.186,437.97
Greens,Minor Party,2014,878486,-79.564,105.157
Greens,Minor Party,2015,1753474,99.602,109.533
Greens,Minor Party,2016,1146938,-34.591,93.212
Greens,Minor Party,2017,1731216,50.942,67.935
Greens,Minor Party,2018,2968322,71.459,56.248
Greens,Minor Party,2019,1388050,-53.238,66.863
Greens,Minor Party,2020,1804199,29.981,63.502
Greens,Minor Party,2021,2245579,24.464,46.536
Greens,Minor Party,2022,2920905,30.074,3.212
Greens,Minor Party,2023,2032073,-30.43,33.43
KAP,Minor Party,2011,1948507,NA,NA
KAP,Minor Party,2012,1333974,-31.539,NA
KAP,Minor Party,2013,449951,-66.27,NA
KAP,Minor Party,2014,564644,25.49,46.329
KAP,Minor Party,2015,391343,-30.692,46.264
KAP,Minor Party,2016,399100,1.982,28.215
KAP,Minor Party,2017,386684,-3.111,17.58
KAP,Minor Party,2018,126126,-67.383,38.661
KAP,Minor Party,2019,378648,200.214,139.69
KAP,Minor Party,2020,754066,99.147,135.126
KAP,Minor Party,2021,295238,-60.847,131.634
KAP,Minor Party,2022,500809,69.629,85.141
KAP,Minor Party,2023,321996,-35.705,69.223
LPA,Major Party,2017,5278530,NA,NA
LPA,Major Party,2018,43754442,728.913,NA
LPA,Major Party,2019,10249055,-76.576,NA
LPA,Major Party,2020,8253273,-19.473,449.473
LPA,Major Party,2021,15936373,93.092,86.331
LPA,Major Party,2022,37327637,134.229,79.569
LPA,Major Party,2023,7209788,-80.685,114.075
McGowan/Haines,Independent,2013,206030,NA,NA
McGowan/Haines,Independent,2016,286094,38.86,NA
McGowan/Haines,Independent,2019,513653,79.54,NA
McGowan/Haines,Independent,2021,70307,-86.312,86.439
McGowan/Haines,Independent,2022,486639.57,592.164,353.699
McGowan/Haines,Independent,2023,61697,-87.322,392.01
Nationals,Major Party,2018,2146852,NA,NA
Nationals,Major Party,2019,1140971,-46.854,NA
Nationals,Major Party,2020,1279045,12.101,NA
Nationals,Major Party,2021,2124115,66.07,56.48
Nationals,Major Party,2022,1766299,-16.845,42.082
Nationals,Major Party,2023,1568016,-11.226,46.335
One Nation,Minor Party,1998,24791,NA,NA
One Nation,Minor Party,1999,126516,410.33,NA
One Nation,Minor Party,2000,89663,-29.129,NA
One Nation,Minor Party,2001,700786,681.578,358.656
One Nation,Minor Party,2002,10167,-98.549,431.764
One Nation,Minor Party,2003,21515,111.616,403.655
One Nation,Minor Party,2004,25707,19.484,105.348
One Nation,Minor Party,2011,25919,0.825,59.317
One Nation,Minor Party,2012,14000,-45.986,33.728
One Nation,Minor Party,2014,68628,390.2,239.465
One Nation,Minor Party,2015,397914,479.813,281.292
One Nation,Minor Party,2016,1757310,341.631,70.1
One Nation,Minor Party,2017,1323693,-24.675,260.699
One Nation,Minor Party,2018,691230,-47.78,218.462
One Nation,Minor Party,2019,5367910,676.574,411.698
One Nation,Minor Party,2020,307734,-94.267,432.251
One Nation,Minor Party,2022,4013715,1204.281,653.056
One Nation,Minor Party,2023,379768,-90.538,748.643
Shooters,Minor Party,2010,21050,NA,NA
Shooters,Minor Party,2011,30000,42.518,NA
Shooters,Minor Party,2012,80000,166.667,NA
Shooters,Minor Party,2013,249711,212.139,87.799
Shooters,Minor Party,2014,71313,-71.442,152.305
Shooters,Minor Party,2015,79000,10.779,145.902
Shooters,Minor Party,2016,90456,14.501,48.58
Shooters,Minor Party,2017,27600,-69.488,47.453
Shooters,Minor Party,2018,167806,507.993,312.002
Shooters,Minor Party,2019,110014,-34.44,323.766
Shooters,Minor Party,2020,46322,-57.894,320.159
Shooters,Minor Party,2021,90331,95.007,82.346
Shooters,Minor Party,2022,53202,-41.103,83.852
Shooters,Minor Party,2023,30000,-43.611,79.317
Wilkie,Independent,2010,59968,NA,NA
Wilkie,Independent,2013,170565,184.427,NA
Wilkie,Independent,2016,175644.92,2.978,NA
Wilkie,Independent,2019,116302,-33.786,116.827
Wilkie,Independent,2021,4290,-96.311,50.199
Wilkie,Independent,2022,160140,3632.867,2135.221
Wilkie,Independent,2023,12597,-92.134,2151.837
