Year,Actor,Total_Receipts,Type,Is_Pivotal,Prev_Receipts,Pct_Change
2011,ACP,347200,NA,No,NA,NA
2012,ACP,108000,NA,No,347200,-0.6889400921658986
2013,ACP,826390,NA,No,108000,6.65175925925926
2014,ACP,1042761,NA,No,826390,0.26182674040102133
2015,ACP,920936,NA,No,1042761,-0.11682926384857124
2016,ACP,1052227,NA,No,920936,0.14256256677988483
2017,ACP,1131359,NA,No,1052227,0.0752043047745401
2019,ACP,1022905,NA,No,1131359,-0.0958617026072184
2020,ACP,956023,NA,No,1022905,-0.06538437098264258
2021,ACP,2405958,NA,No,956023,1.5166319220353486
2022,ACP,1192160,NA,No,2405958,-0.5044967534761621
2023,ACP,1292805,NA,No,1192160,0.08442239296738693
2016,AJP,316478,NA,No,NA,NA
2017,AJP,265605,NA,No,316478,-0.1607473505267349
2018,AJP,616243,NA,No,265605,1.3201483405809378
2019,AJP,1006647,NA,No,616243,0.6335228148636172
2020,AJP,1093852,NA,No,1006647,0.08662917586800536
2021,AJP,932534,NA,No,1093852,-0.14747698957445798
2022,AJP,1141497,NA,No,932534,0.2240808378032329
2023,AJP,730620,NA,No,1141497,-0.35994575544219565
2017,ALP,10307199,NA,No,NA,NA
2018,ALP,48162246,NA,No,10307199,3.672680327604037
2019,ALP,8816505,NA,No,48162246,-0.8169415728660162
2020,ALP,9175665,NA,No,8816505,0.04073723090952708
2021,ALP,54766684,NA,No,9175665,4.968688264011382
2022,ALP,17572183,NA,No,54766684,-0.6791446602828829
2023,ALP,13598360,NA,No,17572183,-0.22614281902254263
1998,Greens,41067,Pivotal (Sen),Yes,NA,NA
1999,Greens,70407,NA,No,41067,0.7144422529037914
2000,Greens,358767,NA,No,70407,4.095615492777707
2001,Greens,1428661,Pivotal (Sen),Yes,358767,2.982141612801623
2002,Greens,266171,NA,No,1428661,-0.8136919815127591
2003,Greens,247382,NA,No,266171,-0.07058995908645194
2004,Greens,589272,NA,No,247382,1.3820326458675247
2005,Greens,167733,NA,No,589272,-0.7153555573656987
2006,Greens,154274,NA,No,167733,-0.08024062050997717
2007,Greens,1425402,Pivotal (Sen),Yes,154274,8.239418178046853
2008,Greens,366002,NA,No,1425402,-0.743228927698993
2010,Greens,367533,Pivotal (HoR/Sen),Yes,366002,0.004183037251162562
2011,Greens,3255278,NA,No,367533,7.857103987941219
2012,Greens,1961173,NA,No,3255278,-0.397540547996208
2013,Greens,4298614,Pivotal (Sen),Yes,1961173,1.1918586478602347
2014,Greens,878486,NA,No,4298614,-0.7956350581838705
2015,Greens,1753474,NA,No,878486,0.996018149407048
2016,Greens,1146938,Pivotal (Sen),Yes,1753474,-0.345905328507865
2017,Greens,1731216,NA,No,1146938,0.5094242234541013
2018,Greens,2968322,NA,No,1731216,0.7145878965998466
2019,Greens,1388050,Pivotal (Sen),Yes,2968322,-0.5323788995937773
2020,Greens,1804199,NA,No,1388050,0.2998083642520082
2021,Greens,2245579,NA,No,1804199,0.24464041937724165
2022,Greens,2920905,Pivotal (Sen),Yes,2245579,0.30073580132340033
2023,Greens,2032073,NA,No,2920905,-0.3043002083258442
2011,KAP,1948507,NA,No,NA,NA
2012,KAP,1333974,NA,No,1948507,-0.3153866011258877
2013,KAP,449951,NA,No,1333974,-0.6626988232154449
2014,KAP,564644,NA,No,449951,0.2549010892297161
2015,KAP,391343,NA,No,564644,-0.30692082090662437
2016,KAP,399100,NA,No,391343,0.019821486522053545
2017,KAP,386684,NA,No,399100,-0.031109997494362315
2018,KAP,126126,NA,No,386684,-0.673826690527666
2019,KAP,378648,NA,No,126126,2.002140716426431
2020,KAP,754066,NA,No,378648,0.9914696499123197
2021,KAP,295238,NA,No,754066,-0.6084719374696644
2022,KAP,500809,NA,No,295238,0.6962890955771276
2023,KAP,321996,NA,No,500809,-0.3570482958573029
2017,LPA,5278530,NA,No,NA,NA
2018,LPA,43754442,NA,No,5278530,7.289133906598996
2019,LPA,10249055,NA,No,43754442,-0.7657596684697751
2020,LPA,8253273,NA,No,10249055,-0.19472839203224102
2021,LPA,15936373,NA,No,8253273,0.9309155289059262
2022,LPA,37327637,NA,No,15936373,1.3422918753219444
2023,LPA,7209788,NA,No,37327637,-0.8068512078597421
2013,McGowan/Haines,206030,NA,No,NA,NA
2016,McGowan/Haines,286094,NA,No,206030,0.38860360141726935
2019,McGowan/Haines,513653,NA,No,286094,0.7953994141785568
2021,McGowan/Haines,70307,NA,No,513653,-0.8631235483877248
2022,McGowan/Haines,486639.57,NA,No,70307,5.921637532535878
2023,McGowan/Haines,61697,NA,No,486639.57,-0.8732182835029219
2025,McGowan/Haines,629318,NA,No,61697,9.20013939089421
1998,One Nation,24791,NA,No,NA,NA
1999,One Nation,126516,NA,No,24791,4.103303618248558
2000,One Nation,89663,NA,No,126516,-0.29129122008283537
2001,One Nation,700786,Pivotal (Sen),Yes,89663,6.8157768533285745
2002,One Nation,10167,NA,No,700786,-0.9854920046918746
2003,One Nation,21515,NA,No,10167,1.1161601258975116
2004,One Nation,25707,NA,No,21515,0.1948408087380897
2011,One Nation,25919,NA,No,25707,0.008246781032403625
2012,One Nation,14000,NA,No,25919,-0.45985570430957984
2014,One Nation,68628,NA,No,14000,3.902
2015,One Nation,397914,NA,No,68628,4.79812904353908
2016,One Nation,1757310,Pivotal (Sen),Yes,397914,3.416306035977623
2017,One Nation,1323693,NA,No,1757310,-0.24675043105655803
2018,One Nation,691230,NA,No,1323693,-0.4778018770213335
2019,One Nation,5367910,Pivotal (Sen),Yes,691230,6.7657364408373475
2020,One Nation,307734,NA,No,5367910,-0.9426715425556688
2022,One Nation,4013715,NA,No,307734,12.042806449726061
2023,One Nation,379768,NA,No,4013715,-0.9053824200273313
2010,Shooters,21050,NA,No,NA,NA
2011,Shooters,30000,NA,No,21050,0.4251781472684085
2012,Shooters,80000,NA,No,30000,1.6666666666666667
2013,Shooters,249711,NA,No,80000,2.1213875
2014,Shooters,71313,NA,No,249711,-0.7144178670543148
2015,Shooters,79000,NA,No,71313,0.10779240811633223
2016,Shooters,90456,NA,No,79000,0.1450126582278481
2017,Shooters,27600,NA,No,90456,-0.6948792783231627
2018,Shooters,167806,NA,No,27600,5.079927536231884
2019,Shooters,110014,NA,No,167806,-0.3443976973409771
2020,Shooters,46322,NA,No,110014,-0.5789444979729853
2021,Shooters,90331,NA,No,46322,0.9500669228444367
2022,Shooters,53202,NA,No,90331,-0.4110327573036942
2023,Shooters,30000,NA,No,53202,-0.436111424382542
2010,Wilkie,59968,Pivotal (HoR),Yes,NA,NA
2013,Wilkie,170565,NA,No,59968,1.8442669423692637
2016,Wilkie,175644.91999999998,NA,No,170565,0.029782898015419244
2019,Wilkie,116302,NA,No,175644.91999999998,-0.3378573089389661
2021,Wilkie,4290,NA,No,116302,-0.9631132740623549
2022,Wilkie,160140,NA,No,4290,36.32867132867133
2023,Wilkie,12597,NA,No,160140,-0.9213375796178344
2025,Wilkie,66861,NA,No,12597,4.3076923076923075
